12,Cl,Mn,s1,32.22,0.26,0.00,2.48,2474.18,1690.17,10.65,90.39,41.2,2.16,1968.5,2.23,348.8,2.76,24.29,146,20.4,39.45,21.7,0.96,7.83,0.5,17.85,229.94,4.71,42,7,24,14,5,1.14,-1995.82,-1345.83,-4.23,-19.49,16.8,-0.18,533.7,-0.25,348.8,-0.82,9.51,42,5.54,8.17,-21.7,0,-7.81,-0.5,-11.43,-209.54,1.61,-8,-1,10,0,-3,-4.31,8.00,3.08,0.00
13,In,Cu,s1,35.97,0.65,0.00,1.53,5190,1786.38,16.27,178.28,37.9,2.61,1303.7,2.94,147.3,3.57,22.8,139,13.52,39.16,48.6,0.62,482.6,64.1,16.4,526.84,3.68,78,9,24,5,5,0.07,-490,-926.82,-1.65,51.36,14.3,0.27,-187.1,0.38,-89.3,0.43,8.6,11,-1.94,-1.42,15.6,-0.16,-319.4,-57.3,-9.88,-74.16,-0.12,20,1,2,1,1,-4.31,8.00,3.08,0.00
14,O,W,s1,22.43,0.81,0.00,2,5915.19,3749.8,20.73,199.85,33.1,2.03,2083.9,2.1,201.1,2.67,23.53,138,21.6,52.12,784.5,1.05,174.27,18.2,35.62,425.99,5.8,82,8,22,8,8,0.8,-5734.81,-3640.2,-17.87,-167.85,1.5,-0.57,543.9,-0.64,81.1,-1.37,4.47,36,5.64,18.12,775.5,0.79,-173.73,-18.2,-35.18,-419.17,1.08,-66,-4,10,-4,-4,-4.31,8.00,3.08,0.00
15,Fe,Ta,s1,28.58,-0.21,0.00,1.19,8753,5101,24.52,236.8,29.3,2.51,1520.3,2.67,84,3.81,18,103,15.76,31.18,18.1,0.59,137.7,19.3,49.8,1086.5,3.33,99,10,13,11,8,-0.09,-2707,-1485,-8.78,-125.1,-5.9,-0.17,-1.7,-0.19,-36,-0.37,-3.8,7,-0.02,1.18,5.5,0.31,22.7,3.1,-22.2,-387.5,0.33,-47,-2,3,1,-2,-4.31,8.00,3.08,0.00
16,Li,Rh,s1,24.40,0.11,0.00,1.43,5585,2689.7,12.94,109.85,33.1,2.48,1240.2,2.89,179.8,3.88,21.4,60,12.85,94.72,54.2,3.82,234.7,34.7,24.76,642.49,3.26,48,7,10,7,4,0.09,-2355,-1782.3,-11.88,-95.97,10.1,-0.02,-199.8,0.21,-60.2,0.22,4.8,-58,-2.07,58.56,37.8,3.34,-65.3,-11.3,-18.76,-348.29,-1.3,-42,-3,-8,-5,-2,-4.31,8.00,3.08,0.00
17,Ca,Cd,s1,57.17,-0.76,0.00,1.95,2797,1706.26,10.2,152.49,65.6,3.15,1457.5,3.46,-156,3.94,39,77,15.1,28.78,53.1,0.88,296.8,46,14.6,254.54,2.69,68,9,14,4,4,0.05,717,517.74,-7.1,-72.33,22.6,0.33,-277.9,0.48,-156,0.52,12.8,-63,-2.88,-5.04,-8.5,0.42,103.2,16.6,2.46,54.8,-0.69,-28,-1,-10,0,0,-4.31,8.00,3.08,0.00
18,W,Pm,s1,45.30,2.18,0.00,1.69,9098,5010,26.52,328.85,49.4,2.93,1305,3.18,110,4.64,31.92,72,13.53,27.9,4.5,0.32,191.9,20.2,43.1,712.58,3.49,135,12,9,9,9,-0.49,2552,2380,12.08,38.85,-17.8,-0.33,235,-0.44,10,-0.6,-12.86,30,2.43,6.1,4.5,-0.06,156.1,16.2,27.7,132.58,1.23,13,0,3,3,3,-4.31,8.00,3.08,0.00
19,Be,Dy,s1,39.50,0.22,0.00,1.48,6083,3245,10.4,171.51,39.7,2.49,1471.4,2.89,-190,3.89,24,98,15.26,29.88,20.9,1.99,210.7,26.1,22.77,527,2.79,70,8,5,5,5,-0.58,403,-125,-6.7,-153.49,-23.5,-0.69,327.4,-0.65,-290,-1.09,-14,36,3.38,6.54,1.7,1.65,189.3,23.9,0.65,67,0.35,-62,-4,-1,-1,-1,-4.31,8.00,3.08,0.00
20,Cs,Nd,s1,101.29,1.83,0.00,3.03,4291,1595.54,8.88,277.15,101.7,3.99,905.7,4.49,95.49,5.98,91.67,24,9.42,35.83,106.9,0.43,52.4,6.9,12.97,351.42,1.93,115,12,4,4,4,0.45,-2403,-992.46,-5.14,-11.33,33.3,0.71,-154.3,0.85,-4.51,0.7,50.47,-14,-1.64,14.37,93.1,0.05,19.4,3.7,-8.79,-215.94,-0.35,-5,0,-2,-2,-2,-4.31,8.00,3.08,0.00
21,Ru,Ho,s1,38.59,-0.66,0.00,1.64,7393,4357,21.17,266,45.1,2.83,1292,3.09,160,4.36,27,89,13.39,28.56,16.2,0.41,133.2,16,42.67,818.81,3.43,111,11,11,11,6,-0.4,1457,863,3.57,-63.86,-17.1,-0.33,130,-0.45,60,-0.58,-10.4,23,1.35,4.96,-3.4,0.07,100.8,13.8,8.37,316.73,0.97,-23,-1,5,5,0,-4.31,8.00,3.08,0.00
